GO	genes
supramolecular fiber organization	capt;chinmo;cpb;ed;Lam;chic;stai;Rack1;SCAR;Nup154;Arpc1;CG18109;kon;gammaTub37C;sick;spir;Arpc2;Ret;Src42A;sced;CanB2;wash;Dg;Rho1;Khc;RhoGEF2;Patronin;ena;hts;TBCB;cpa;Vrp1;CG3085;Ssrp;tsr;gek;zip;mwh;Rac1;msd1;Spn;Girdin;ens;Cip4;Src64B;Dhc64C;CG32232;jv;CG7716;nwk;Zasp67;nudE;rols;RhoGAP68F;flr;Abl;Nedd4;polo;zye;chb;tacc;Kat60;kat-60L1;Jupiter;Abi;jvl;Tm1;Atx2;msps;Sb;gish;Pak3;cdi;Dl;RhoGAP92B;psidin;how;Nup98-96;mask;asp;ssh;Mtl;WASp;Sry-alpha;cindr;dco;bnk;CG13366;tw;DAAM;Scgdelta;PsGEF;N;CG10793;cib;ctp;spoon;swa;sn;Moe;Klp10A;dsh;nod;hep;Grip128;Rok;f;Fim;CG6873;Grip84;Cdc42;pico
nuclear transport	lwr;chinmo;tim;Hel25E;smt3;Sem1;emb;Pen;CG13137;Nup154;Nup160;RanGAP;swm;Fs(2)Ket;Gp210;cos;Nup50;CG14749;Mtor;Nup62;Mapmodulin;Tab2;Rae1;CG12782;thoc7;Hsp83;CG10576;Rcc1;alphaKap4;CG8219;msk;pix;thoc6;Ran-like;Abl;Kap-alpha1;Karybeta3;Hph;e(y)2b;nxf4;Kap-alpha3;Ranbp9;CG14712;Su(fu);sqd;rdx;Mat89Ba;SF2;RanBP3;Nup98-96;Nup358;wts;ebo;Grip;Moe;sbr;Ran;Nup93-1;exd;CG9915;U2af50;Nup153;xmas-2;CG6540;CG6961;Ranbp21;Nup205;Ntf-2
cuticle development	l(2)gl;Sec24CD;Cpr23B;fred;CG2837;Lam;mmy;Sec61alpha;wg;Rack1;Cpr30F;Cpr31A;gny;Cpr35B;yellow-c;yellow-b;Hr38;gus;Lcp1;Lcp3;Lcp4;Cpr47Ea;Cpr47Eb;Cpr47Ed;Cpr47Eg;Cpr49Aa;Cpr49Ac;Cpr50Ca;Cpr50Cb;Cpr51A;resilin;grh;Cpr56F;Cht12;Fili;Lcp9;zip;klar;Glut1;bab1;ru;Cpr62Ba;Cpr62Bc;yellow-g;yellow-g2;Cht7;dib;Cpr64Ad;Dhc64C;l(3)mbn;Lcp65Ae;Cpr65Av;Cpr65Aw;Cpr65Ay;Cpr65Az;Cpr65Ec;CG13670;CG34461;Cpr66Cb;Cpr72Ea;Cpr72Eb;dsx-c73A;Cpr73D;Cpr76Bc;Cpr76Bd;Cpr78Cb;Edg78E;TwdlG;TwdlV;kkv;Ccp84Af;Ccp84Ae;Ccp84Ad;Gld;puc;Mkk4;knk;yellow-e3;yellow-e2;Cht5;Akt1;TwdlW;osa;Cpr92A;Cpr92F;e;Burs;Efa6;TwdlM;TwdlP;TwdlL;TwdlK;TwdlJ;TwdlN;TwdlR;TwdlS;Tb;TwdlQ;TwdlC;Cpr97Ea;Ser;WASp;Axn;Cpr100A;gammaCOP;pygo;ttk;yellow-h;lgs;y;arm;ovo;Cpr5C;sn;Idgf4;rtv;pot;Cpr11B;lic;CG15756;Cpr12A;TwdlX;TwdlY;TwdlZ;Twdlalpha;f
metamorphosis	l(2)gl;net;spen;kis;al;ebi;Ptth;S;Su(dx);Rab5;Chd1;Mad;sob;ed;ft;Traf4;vri;chic;PDZ-GEF;Rca1;wg;Wnt6;chm;d;Cks30A;lft;Myo31DF;ab;salr;crol;Sos;Su(H);Cul3;CycE;dac;spi;tsh;gus;Src42A;jing;Bap170;pk;cos;so;babo;Uba1;dap;TER94;lola;psq;inv;en;otk;Cam;Cyp301a1;sca;vg;mam;cg;Asx;kn;Hr51;Poxn;Dg;Rho1;Ptp52F;RhoGEF2;cnk;RhoGAP54D;fj;sbb;Atg7;par-1;shg;cv-2;wmd;Sox14;Chi;tsr;Dll;zip;bab1;mwh;Rac1;msn;Mrtf;Eip63E;Ubi-p63E;Cip4;l(3)psg2;vn;tow;nmo;msk;BI-1;Cbl;Gug;path;RasGAP1;RhoGAP68F;ara;caup;Atg1;flr;RhoGAP71E;Eig71Eh;Eig71Ei;Eig71Ek;brm;Mbs;Nedd4;Eip74EF;MYPT-75D;Atg3;ftz-f1;Mkp3;trc;in;skd;TfAP-2;Chro;opa;corto;Atg17;Pak;rn;puc;Atg13;bel;hyx;Ras85D;hyd;jumu;mor;ss;osa;Dl;RhoGAP92B;cic;Stat92E;H;Pi3K92E;tin;lbl;lbe;C15;how;wge;mbc;Tsc1;BRWD3;tok;tld;polybromo;tnc;tx;scrib;Ser;Mtl;stg;alph;Axn;hdc;dco;Gprk2;pygo;heph;Crk;lgs;zfh2;ey;fuss;CG13366;arm;east;usp;N;bi;ctp;ovo;sqh;dx;Dok;sn;slpr;Trf2;oc;Lim1;Moe;btd;Atg8a;dsh;hop;Drak;dy;pot;fw;hep;tay;disco-r;Rok;f;B-H2;B-H1;Hs3st-B;e(y)3;dome;Cdc42;RhoGAP19D
organelle fission	lwr;Rab5;oaf;Drp1;Spindly;Bub1;tomb;Lam;ifc;Rca1;mtsh;aust;borr;Cks30A;pelo;pim;Nup154;cmet;CycE;CG18109;twe;Syx5;fzy;grp;glu;CG5755;gammaTub37C;RanGAP;Top2;RPA2;Mcm10;Nipped-B;Incenp;scra;dpn;Non1;CG33474;san;Mtor;sca;Cap-G;cnn;cid;Opa1;Su(var)2-HP2;Arf51F;dup;SRPK;tef;prod;Topors;mei-W68;CG11788;Rae1;CycB;ord;bgcn;fzr2;Pgam5-2;fwd;SA-2;Non2;pav;ago;Dhc64C;mad2;ssp6;mei-P22;eco;CG7716;mtrm;alphaTub67C;RasGAP1;nudE;can;JIL-1;CycA;vih;sti;Syx13;endos;polo;kni;chb;Rpn10;mael;Arf79F;Chro;vtd;tacc;Hus1-like;corto;Kat60;mia;alphaTub84B;Cenp-C;bel;dmt;hyd;alphaTub85E;topi;tws;pont;Blm;Pp1-87B;Spc25;eff;msps;sra;cal1;14-3-3epsilon;gwl;nos;Synd;Rab11;slmb;Rab1;mod(mdg4);eIF4G2;CycB3;larp;yem;Slbp;Bub3;gammaCOP;CycG;ase;Rbf;east;wapl;Klp3A;Zw10;dhd;Marf;Pink1;hdm;Moe;His3.3B;nej;Hmr;Klp10A;nod;bif;wisp;mud;Grip128;Myb;CycD;mei-41;Pp2B-14D;Rok;mei-218;Fim;CG8188;CG12200;Grip84;Mer
organelle assembly	BBS8;rempA;CG15399;Chd1;CG2955;Lam;CG13999;ifc;TTLL3B;milt;CG31907;mts;mtsh;Pp2A-29B;emb;Cks30A;CG3769;CG42366;me31B;mRpS7;Nup154;Ge-1;CG5142;CG5458;CG10859;Rab14;CG18109;Tektin-A;CG10839;grp;CG31803;Dhc36C;btv;kon;CG15161;gammaTub37C;Oseg5;dtr;nompB;Incenp;CanB2;Nop17l;pnut;CG8800;Non1;dila;BBS4;Mtor;Cam;Iswi;cnn;cid;mars;Prosap;Rcd1;SRPK;Cep89;Dg;Rho1;Lis-1;stau;CG17669;Atg7;CG18190;hts;Efhc1.2;CG9313;CG15666;Synj;nsr;CG3085;Klp59D;Nap1;CG42383;zip;Oseg4;Oseg2;Non2;CG11486;Rcd5;pav;DOR;Dhc64C;mad2;ssp6;BBS1;CG7716;alphaTub67C;SH3PX1;Zasp67;CG5964;CG5906;CCDC151;rols;Atg1;Zmynd10;snky;flr;mop;Edc3;Nedd4;Atg3;polo;in;atk;Spc105R;Mst77F;chb;RpLP0;RpL10;CG34425;CG17387;Hus1-like;CG1126;asl;Atg17;Mst84Dc;Atg13;Cenp-C;CG9492;Fmr1;tws;pont;RpL3;CG6971;Pp1-87B;CG14367;CG3259;RpS5b;Atx2;CG4525;CG10185;sra;Patr-1;cal1;Atg8b;Sep2;CG15923;Synd;slmb;how;fzo;Rab7;mask;CG13617;wdb;larp;yem;stg;Nlp;RpL6;CG13366;tw;DAAM;Scgdelta;dhd;unc-119;CG1571;CG10958;CG1785;CG15306;Atg8a;CG15208;Klp10A;nod;wisp;Mks1;mud;Grip128;Myb;Sep4;Grip84;unc;tilB;CG17599
negative regulation of developmental process	l(2)gl;lwr;erm;aop;Mad;ed;ft;lid;wg;chm;mts;C1GalTA;numb;gcm;gcm2;bun;He;Su(H);CadN;brat;tsh;Src42A;nito;lig;Acsl;eve;stj;chn;ena;hpo;Rae1;enok;klar;bab1;Spn;ago;Cip4;Src64B;lark;PGRP-SD;nwk;PGRP-LC;RasGAP1;btl;brm;Abl;PGRP-SB2;Ilp8;tap;Capr;Ac76E;polo;Syx7;MED31;Ras85D;MED6;Fmr1;tws;Csk;rin;kibra;Sdr;mor;srp;Akt1;Abd-B;Patr-1;osa;cdi;nos;Dl;Stat92E;Lrrk;Rab11;slmb;Octbeta1R;sav;Tsc1;RASSF8;Lgr3;scrib;ro;Ser;WASp;alph;hdc;wts;ttk;fuss;MED22;usp;gt;N;Pink1;PGRP-SA;bif;Bap60;hiw;Ulp1;Hs3st-B;Tao;Mer
biological adhesion	ds;aop;Sec24CD;ed;ft;Tsp;Nlg2;CG44153;SCAR;crol;Arpc1;rk;CG43333;beat-Ib;beat-Ic;beat-Ia;beat-IIIb;CadN;CadN2;Pax;Lectin-galC1;Ret;p120ctn;Src42A;Dscam1;wech;sns;RanBPM;stan;otk;wash;Lac;muskelin;hbs;POSH;par-1;shg;wrapper;CG10339;Rac1;Girdin;Fit1;Src64B;Con;Mp;Dscam2;Dscam4;CG32087;prc;Ptp69D;mop;Eig71Ee;Ccn;Mkp3;zye;CG7166;Hem;alpha-Cat;Cont;Pak;Nlg1;pyd;Cad86C;beat-Vc;beat-Va;beat-Vb;Abi;Cad88C;Cad89D;Fas1;beat-IIb;beat-IIa;Dscam3;Dl;Nlg4;Burs;glec;how;klg;beat-IV;Cad96Ca;Cad96Cb;tx;scrib;beat-VII;Tl;eater;CG34353;beat-VI;mesh;pygo;arm;Vinc;egh;kirre;N;Grip;fw;Jafrac1;disco-r;mbt
regulation of cell projection organization	cpb;chic;mmy;C1GalTA;Trim9;SCAR;kuz;Arpc1;CadN;kon;ham;pk;Dscam1;eve;stan;Prosap;kn;aPKC;Hr51;Rho1;Lis-1;RhoGEF2;ena;cpa;Klp59D;tsr;Rac1;nudE;btl;comm;Abl;Galphaf;nudC;tap;Nedd4;trc;kra;kat-60L1;Pak;Fmr1;Abi;Tm1;Akt1;ss;Pak3;psidin;Pi3K92E;Lrrk;Rab1;sav;ssh;wts;G9a;DAAM;PsGEF;N;lva;Imp;Dlic;dsh;bif;hep;NetB;Efhc1.1;Rok;RhoGAPp190;CG34401;Cdc42;Rab35;CG15456
protein phosphorylation	l(2)gl;ebi;RpLP1;Pkg21D;CG4629;chinmo;cpb;CG9886;Hrs;CG3277;for;Traf4;Bub1;CG7236;CG9098;CG9222;Ddr;PDZ-GEF;CG11221;smt3;Rack1;mts;raw;borr;Cks30A;CG42366;Dref;Ror;Gyc32E;CycY;Pk34A;CG31832;CycE;chif;grp;CG7094;CG5790;Nak;spi;scw;lok;Ret;CG41520;Src42A;Incenp;babo;dap;Mat1;otk;CG8878;Cam;Drl-2;Ack-like;Nrk;CG8485;aPKC;SRPK;Rho1;CG4945;Alk;Pkc53E;cnk;fj;slim;par-1;hpo;CG11099;CkIIbeta2;cpa;PTP-ER;CycB;Ssrp;Pask;gek;Ssl;Pdk1;CG7028;Aplip1;Rac1;Ptp61F;Cdc37;msn;CG11486;Eip63E;Src64B;vn;CG10289;nmo;Cbl;Hsp67Bc;JIL-1;CycA;sti;Atg1;CG10738;btl;gnu;sff;Abl;CycT;bora;Mkp3;trc;CG14184;sNPF-R;polo;Pitslre;Cdk12;Wnk;CkIIalpha;aux;CG32944;CG34357;cno;CG12147;PEK;Atg17;Pak;puc;Atg13;Mkk4;M1BP;pyd;Ras85D;CG6345;Tctp;Csk;Blm;rdx;Abi;Sdr;CG9593;CG31183;Akt1;gish;Pak3;GckIII;htl;PKD;koko;fray;CG14305;gwl;cdi;Ire1;Pi3K92E;Lrrk;SNF4Agamma;CASK;CG13850;Takl2;CG10177;mbc;niki;CycB3;ssh;Cad96Ca;XNP;wdb;Mtl;Doa;alph;CG12069;Pka-C2;wts;dco;Gprk2;CycG;Crk;Asator;mav;Actbeta;Sik2;N;Rala;MAPk-Ak2;Pink1;sws;slpr;CG7766;Dsor1;Erk7;sev;hop;Drak;PhKgamma;CkIIbeta;CG2577;CkIalpha;hep;lic;ben;Rab3-GEF;CG8565;CycD;mei-41;mbt;Rok;CG8173;mnb;Vav;Tao;et;Mer;Cdc42
cellularization	Rab5;TTLL3B;gudu;poe;Pen;me31B;porin;piwi;Prosalpha6T;Cul3;grp;Cyt-c-d;Pld;scra;pnut;gcl;TER94;oys;MCPH1;cnn;Rho1;RhoGEF2;nsr;Cip4;Src64B;Dhc64C;blanks;AGO2;Dab;Capr;aux;tacc;dj;osk;skap;Fmr1;soti;gish;kuk;Sep2;Rab11;Syx1A;Osbp;Sry-alpha;bnk;faf;heph;lva;ctp;Act5C;mei-41;Mer;Cdc42
response to growth factor	l(2)gl;lwr;GluRIIC;aop;Mad;for;GluRIIA;GluRIIB;rau;smt3;piwi;Sos;scw;Cul2;Acsl;babo;CG10459;ths;Lis-1;cnk;grh;Ote;Toll-7;cv-2;MAN1;Ptp61F;Src64B;sgl;RasGAP1;btl;Toll-6;cmpy;Ras85D;stumps;pnr;CG14891;htl;GluRIIE;GluRIID;tld;gro;kek6;mav;fuss;Vps26;csw;Dsor1;tsg;Neto;hiw;CG15056;Cdc42
male gamete generation	Pex12;Hydr2;tomb;Lam;Hsp60C;ifc;TTLL3B;milt;gudu;poe;mtsh;Rcd-1r;aust;pelo;Pen;porin;piwi;Nup154;spag4;Pkd2;ACXB;ACXA;Prosalpha6T;ms(2)34Fe;Cul3;twe;Syx5;Cyt-c-d;Mst36Fb;Top2;Cul2;Incenp;so;scra;U2A;sns;dila;oys;Mtor;Prp8;Iswi;aPKC;Arf51F;Lis-1;ste24b;tef;Topors;hts;exu;sktl;Rae1;comr;Vrp1;nsr;Klp59D;ord;bgcn;Nap1;fzr2;Pdk1;Dic61B;E(bx);Tudor-SN;fwd;cue;CG42355;blanks;mad2;zpg;nudE;can;sti;Syx13;Hip14;ms(3)76Ba;Rcd7;ms(3)76Cc;Kap-alpha1;Mi-2;polo;Mst77F;CSN3;mael;Arf79F;aux;mia;asl;dj;RacGAP84C;Mst84Dc;bel;skap;HP1e;hyd;topi;Fmr1;Mst87F;soti;eff;Mst89B;gish;Dlc90F;nos;Synd;Rab11;Rab1;mod(mdg4);how;CSN6;Tpl94D;fzo;eIF4G2;tbrd-1;Osbp;mil;mfrn;Mst98Ca;Mst98Cb;larp;WASp;Ctr1C;gammaCOP;heph;MED22;Klp3A;Zw10;ctp;Act5C;His3.3B;mei-P26;Imp;dmrt11E;Grip128;xmas-1;xmas-2;Grip84;Mer;Cdc42;unc
cell proliferation	l(2)gl;lwr;ds;S;erm;Rab5;Axud1;lilli;CG3277;ft;Lam;dsf;Pez;Pvf2;Wnt4;wg;mts;numb;gcm;Dref;Nos;Nup154;bun;pdm2;wor;sna;CycE;CG4793;Syx5;dl;ham;Nedd8;brat;spi;cad;tsh;Orc1;dpn;babo;Uba1;Sin3A;vg;cnn;tum;AGO1;Sox15;SelD;aPKC;Mlf;Rho1;Lis-1;Pkc53E;CG10764;grh;stau;hts;hpo;dom;pgc;CycB;CG13559;mi;yki;snama;enok;Nurf-38;zip;Kr;thoc7;Roc1b;Rac1;Ptp61F;Patj;Hsp83;enc;ago;Dhc64C;vn;Galphai;msk;RecQ4;Cbl;CycA;thoc6;CG10738;brm;Abl;Galphaf;Nedd4;Mkp3;polo;CSN3;Syx7;MED31;tacc;cno;mtd;Atu;cas;hb;Rel;Ras85D;MED6;Fmr1;tws;pont;Csk;flfl;kibra;pxb;nsl1;mor;msps;Akt1;osa;htl;Dl;mira;Stat92E;Pi3K92E;slmb;lbl;lbe;pit;lqfR;sav;eIF4G2;Tsc1;CycB3;Cad96Ca;Nup358;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;scrib;Tl;Ser;Doa;Cul5;stg;wts;tll;CycG;mod;ey;ase;Rbf;MED22;N;Vsx1;Moe;mxc;btd;hop;Bap60;Pdcd4;mud;Top1;CG12608;Myb;CycD;dome;Mer;Cdc42
regulation of phosphorus metabolic process	l(2)gl;ebi;RpLP1;chinmo;cpb;Hrs;CG3277;Traf4;CG9098;Ddr;smt3;Rack1;mts;Pp2A-29B;raw;Cks30A;Ror;Nos;CycY;CG31832;CycE;chif;CG12620;CG6380;spi;scw;Ret;CG41520;Src42A;CanB2;babo;dap;Mat1;Drl-2;Nrk;Dg;Rho1;Alk;cnk;slim;par-1;hpo;CkIIbeta2;cpa;PTP-ER;CycB;Ssrp;Ssl;Pdk1;Aplip1;Rac1;Ptp61F;Cdc37;Patj;msn;Src64B;vn;CG10289;Cbl;I-2;CycA;endos;btl;gnu;CycT;bora;MYPT-75D;Mkp3;CG14184;sNPF-R;srl;cno;PEK;Atg17;CG2104;Pak;puc;Atg13;Mkk4;M1BP;pyd;Ras85D;tws;CG6345;CG31391;CG31467;CG14689;Tctp;I-t;Blm;rdx;Abi;CG9593;sra;Pak3;GckIII;htl;koko;fray;gwl;Pi3K92E;SNF4Agamma;Takl2;mbc;Pli;Tsc1;CycB3;ssh;Cad96Ca;XNP;wdb;alph;dco;CycG;Crk;mav;Actbeta;CG32812;N;Rala;CanB;MAPk-Ak2;Pink1;sws;slpr;Dsor1;PPP4R2r;sev;CkIIbeta;hep;lic;ben;Rab3-GEF;CG8509;CycD;mbt;Rok;Socs16D;mnb;Vav;Tao;et;Mer;Cdc42;CG41106
tissue migration	kis;CG4552;cpb;aop;Rab5;Hrs;Tsp26A;stai;Stam;ab;Rab3-GAP;bun;kuz;Sos;rk;Catsup;spi;jing;mim;Sin3A;RN-tre;Rho1;Lis-1;cnk;ena;rib;par-1;hpo;shg;apt;tsr;yki;zip;Rac1;ru;Mrtf;Girdin;Dhc64C;vn;sgl;Cbl;CalpB;nudE;byn;rols;flr;btl;shd;kni;puc;Ras85D;sqd;Abi;stumps;kibra;Akt1;htl;Dl;psidin;Stat92E;Rab11;slmb;Burs;CASK;mbc;Rab7;wts;cindr;ttk;Crk;usp;csw;egh;N;Rala;spoon;sqh;Dsor1;spri;dsh;hop;Evi5;hep;phm;Vav;dome
nucleus organization	Chd1;Bsg25D;Lam;pelo;spag4;Prosalpha6T;twe;Gp210;koi;wash;Iswi;Ote;Topors;LBR;Nap1;MAN1;CG42383;klar;CG42355;msk;alphaTub67C;snky;polo;Mst77F;tacc;Hus1-like;HP1e;hyd;sle;jumu;msps;sra;kuk;Tpl94D;yem;Nlp;ctp;dhd;wisp;Nup93-1;Nup153;CG6540;Nup205
regulation of protein modification process	l(2)gl;ebi;RpLP1;chinmo;cpb;Hrs;CG3277;Traf4;bchs;CG9098;Ddr;mmy;Rca1;smt3;Ntl;Rack1;mts;Su(var)205;Pp2A-29B;raw;Cks30A;Ror;CycY;CG31832;sna;CycE;fzy;chif;CG12620;CG6380;Nedd8;spi;scw;CG9246;Ret;CG41520;Src42A;CanB2;babo;dap;Mat1;Drl-2;Nrk;Rho1;Alk;cnk;Pcl;slim;par-1;hpo;CkIIbeta2;cpa;PTP-ER;Rtf1;CycB;CG9899;Ssrp;fzr2;yki;Ssl;Pdk1;Aplip1;Rac1;Ptp61F;CG12084;Cdc37;Patj;msn;Src64B;vn;CG10289;Cbl;Gug;Hsp67Bc;Jarid2;I-2;CycA;upSET;endos;btl;gnu;CycT;bora;MYPT-75D;Mkp3;ash1;CG14184;sNPF-R;ctrip;cno;PEK;Atg17;CG2104;Pak;puc;Ada2b;Atg13;Mkk4;M1BP;pyd;Ras85D;hyd;tws;CG6345;Tctp;I-t;Blm;rdx;Abi;CG9593;sra;Pak3;GckIII;htl;Ada2a;koko;fray;gwl;Pi3K92E;SNF4Agamma;Takl2;mbc;Pli;CycB3;ssh;Cad96Ca;XNP;wdb;alph;dco;CycG;Crk;mav;Actbeta;G9a;trr;N;Rala;CanB;MAPk-Ak2;sws;slpr;Dsor1;PPP4R2r;Atg8a;sev;CkIIbeta;hep;lic;ben;Rab3-GEF;CG8509;CycD;CG9915;mbt;Rok;mnb;Vav;CoRest;Tao;et;Mer;Cdc42;CG41106
maintenance of cell number	erm;lilli;Mad;chic;lid;PDZ-GEF;pelo;da;piwi;CycE;fzy;Nedd8;AGO1;mam;Lis-1;Ote;shg;dom;bgcn;enok;scny;zpg;fax;Su(Tpl);CSN3;chb;mael;bel;eff;nsl1;nos;Dl;Stat92E;H;Pi3K92E;Rab11;how;CSN6;Nup98-96;E(spl)mgamma-HLH;His2Av;Ser;Hrb98DE;Axn;arm;fs(1)Yb;N;dsh;hop;RPA3
pole cell development	me31B;piwi;Cul3;CycE;scra;gcl;TER94;MCPH1;cnn;RhoGEF2;pgc;Dhc64C;AGO2;lost;tacc;osk;rump;Fmr1
protein catabolic process	ebi;CG31928;CG33128;CG31926;Su(dx);Uch;Prosbeta4R1;Prosbeta4R2;RpL40;Rpn11;Rca1;Sem1;poe;Bace;Cks30A;Prosalpha6;Trim9;CG17134;CG14937;CG6766;Prosalpha6T;Cul3;CG31823;fzy;Prosbeta4;CG7094;Nedd8;brat;CG9316;Pomp;Cul2;gus;wech;Rpt1;Cul1;gcl;Prosalpha7;TER94;dmpd;Prosbeta5;CG9003;DUBAI;CG6347;Rpn13;Cp1;phyl;Rpn6;CG30466;CG8405;Prosalpha5;CG18467;POSH;Topors;CG18605;hpo;CG11044;Prosalpha3;ari-2;RYBP;yip3;mi;fzr2;snama;CG42383;Prosalpha4T2;gol;Roc1b;CG34025;CG10862;CG43089;Ubi-p63E;ago;CG17030;scny;Cdc27;Cbl;CG4911;Uch-L5;CG12362;CG32085;Rpt4R;vih;CG12520;26-29-p;Prosbeta2;Rpn12R;CG7656;Notum;Rpn12;sinah;CG9951;CG7707;Nedd4;Ugt;Rpn1;CSN3;Rpn10;CkIIalpha;ctrip;Prosbeta2R2;CG12163;CG11999;CG12147;Rpn5;Ubc84D;Prosbeta3;Rpt3R;CG6923;Prosalpha2;pic;rdx;CG12402;eff;CG14891;CG17283;CG5863;CG5823;CG14317;CG14291;Prosalpha4T1;slmb;Rpn7;CG34375;CG6688;CG10254;Rpt5;Rpt2;CG10694;puf;CG5003;Cul5;Rpn2;CG2010;Axn;CG11498;Rpt6R;dco;Prosalpha3T;faf;Rad23;tw;inc;wds;CG2681;Prosbeta2R1;Ubi-p5E;CG11700;Pink1;Rpt3;Hsc70-3;Usp7;CG2577;CkIalpha;CG8184;Prosalpha4;CG8188;CG15814;Vps4;ari-1;CG15056;Ubqn;Rpt6
positive regulation of developmental process	kis;ebi;Ptth;cpb;aop;Sec24CD;Drp1;Hrs;Mad;bchs;chic;mmy;wg;d;gcm;da;bun;PICK1;kuz;Catsup;spi;Mcm10;tsh;Src42A;pk;Cul1;dpn;pnut;stan;Dp;Vmat;Prosap;Opa1;aPKC;Hr51;Mlf;Lis-1;stau;shg;Synj;Sox14;yki;Pgam5-2;zip;Pdk1;nerfin-1;Rac1;Src64B;Dhc64C;scny;vn;nmo;Cbl;RasGAP1;nudE;simj;ssp;RhoGAP68F;Atg1;Abp1;mop;Dab;nudC;Nedd4;sNPF-R;Arf79F;kat-60L1;Pak;Dfd;puc;Atg13;Ras85D;Fmr1;Tctp;Akt1;Pak3;Abd-B;RhoGAP92B;Pi3K92E;Synd;slmb;Rab1;Rassf;nau;mbc;E(spl)mgamma-HLH;E(spl)m3-HLH;stg;ttk;ey;G9a;DAAM;N;ec;lva;ctp;Marf;Pink1;oc;lz;spri;Imp;dsh;cac;hep;lic;Pdcd4;ben;caz;mbt;mnb;ari-1;upd2;pico;Rab35
negative regulation of multicellular organismal process	l(2)gl;lwr;erm;aop;Mad;ed;ft;mts;C1GalTA;numb;He;Su(H);CadN;brat;tsh;Src42A;lig;Acsl;FMRFa;eve;CG12344;Sin3A;stj;chn;ena;hpo;Rae1;klar;bab1;Spn;ago;Cip4;Src64B;lark;PGRP-SD;nwk;PGRP-LC;RasGAP1;btl;brm;Abl;PGRP-SB2;Ilp8;tap;Grd;Capr;Ac76E;polo;Syx7;MED31;CG9636;Ras85D;MED6;Fmr1;tws;Csk;rin;kibra;Sdr;mor;Akt1;Abd-B;Patr-1;osa;cdi;nos;Dl;Lrrk;Rab11;slmb;Octbeta1R;sav;CG34355;Tsc1;RASSF8;Lgr3;scrib;ro;Ser;WASp;Doa;alph;Dop1R2;hdc;CG15537;wts;ttk;MED22;gt;N;PGRP-SA;bif;Bap60;hiw;Ulp1;Hs3st-B;Tao;Mer
locomotory behavior	tim;for;vri;Lam;Gpdh;lid;Nlg2;Rack1;Trim9;ppk;Cul3;Trpgamma;btv;Ac3;Tdc2;dpn;Cirl;dila;FMRFa;nemy;Hr51;Rho1;Khc;DAT;Dcr-2;sbb;rig;spag;Mid1;lov;Rac1;MsR2;MsR1;Shab;FMRFaR;lark;ppk26;Ilp5;nan;DCX-EMAP;Mbs;CG32206;cyc;TfAP-2;CkIIalpha;Dh44;Fmr1;CG34402;Pp1-87B;Atx2;Fer2;kuk;unc79;Atpalpha;slmb;e;CASK;unc80;Fer2LCH;dco;gw;ey;G9a;ebo;Adar;Pdfr;tyf;Marf;iav;Tbh;oc;nej;BTBD9;hop;CkIIbeta;cac;ben;na;hiw;acj6;caz;CCKLR-17D1;CCKLR-17D3;nAChRalpha7;dome;shakB;unc
positive regulation of protein metabolic process	ebi;RpLP1;Su(dx);Hrs;CG3277;Traf4;CG9098;Ddr;mmy;smt3;Ntl;Rack1;Su(var)205;Cks30A;Ror;RnrL;CycY;CG31832;Cul3;sna;fzy;chif;Cyt-c-d;CG7094;spi;scw;lok;Pomp;bur;Ret;CG41520;gus;Src42A;Rpt1;Cul1;babo;TER94;Elp2;Mat1;RnrS;Drl-2;Nrk;Rpn13;phyl;Asx;hbs;CG8405;Rho1;Alk;CG8963;cnk;stau;Pcl;slim;hpo;ari-2;Rtf1;fzr2;yki;CG4612;Pdk1;Roc1b;Aplip1;Rac1;Cdc37;msn;Src64B;vn;lark;Hsp67Bc;CG12362;Rpt4R;vih;btl;gnu;CG13458;CG9951;Nedd4;CycT;grim;bora;CG14184;sNPF-R;ctrip;CG12147;PEK;Atg17;Pak;Ada2b;Atg13;Mkk4;M1BP;osk;skap;pum;Ras85D;Rpt3R;Fmr1;Tctp;pic;rdx;Abi;CG9593;Pak3;GckIII;htl;fray;Pi3K92E;slmb;Takl2;Rpt5;mbc;Pli;Rpt2;Cad96Ca;Hrb98DE;Axn;Rpt6R;dco;Crk;mav;Actbeta;G9a;trr;wds;tyf;slpr;Dsor1;sev;Rpt3;CG2577;CkIalpha;hep;lic;ben;Rab3-GEF;mbt;ari-1;Vav;Tao;Mer;Cdc42;Rpt6;CG41106
