GO	genes
cellular response to chemical stimulus	l(2)gl;Pi3K21B;lwr;dock;GluRIIC;aop;dpp;daw;CG2964;Duox;Mad;Hydr2;for;GluRIIA;GluRIIB;dsf;smt3;Herp;mts;Sirup;Pp2A-29B;emb;CG9314;tai;Pka-C1;Pten;Utx;piwi;PICK1;Vha68-1;Tor;Sos;rk;Cul3;Sytalpha;CG10211;l(2)37Cc;drl;scw;Hr38;Cul2;step;Gpb5;rl;sxc;EcR;Gr43a;sax;Cul1;RagC-D;babo;wun2;CG10459;trpl;TER94;magu;Sod3;ths;Cyp6g2;Dh44-R2;Iswi;sug;Drl-2;Dh31-R;drk;St4;Hsc70-5;Dh44-R1;Cyp6a8;Hr51;Lis-1;Sod2;GstS1;cnk;MESR4;grh;Ote;CG10924;CG15116;Toll-7;Lrt;Xbp1;cv-2;Pde8;St3;Sesn;MAN1;mAChR-A;Letm1;Nurf-38;Pdk1;E(bx);MED14;Ptp61F;Pxn;Mrtf;PHGPx;Chd64;ago;Src64B;Ir64a;Lkr;Txl;sgl;melt;BI-1;CG7182;Idh;GstO3;Shc;SH3PX1;Ilp1;Ilp2;RasGAP1;CrzR;Atg1;btl;Sytbeta;Pdi;CG6888;Toll-6;CG12229;Crtc;Eip75B;AstC-R2;AstC-R1;ftz-f1;Cat;Ugt;Rab8;Toll-9;trbl;CG5199;cmpy;park;Eip78C;pzg;CapaR;CG11249;Trxr-2;tub;srl;Hph;PEK;mAChR-B;tgo;Ras85D;Dh44;Fmr1;Blm;svp;GstD8;Hsp70Bbb;Hsp70Bb;Hsc70-2;rdx;Dop1R1;Crz;stumps;put;CG7362;Sdr;GlyS;Hsc70-4;FK506-bp1;pnr;Akt1;Fer2;ss;CG14891;Pxd;CG4009;Pxt;Lgr1;TyrRII;htl;bnl;Ire1;CG4390;Ir92a;Stat92E;Pi3K92E;GluRIIE;GluRIID;TotZ;slmb;Snmp1;ETHR;SIFaR;PyK;cd;hh;Nup98-96;Hsp68;Tsc1;p38c;tld;CG42331;Nup358;msi;Lgr3;CG5948;gro;wdb;Dop1R2;sima;CG15537;tll;CycG;Med;Syt7;mav;fuss;G9a;Roc1a;tw;Vps26;usp;Sik2;csw;CG2918;Ilp6;VhaAC39-1;raptor;Tom40;Smox;slpr;Trxr-1;Ir8a;Dsor1;Pa1;Hsc70-3;Upf1;tsg;hep;HDAC4;Jafrac1;Syt12;Set2;Neto;Clic;hiw;ppk28;CG15814;CG6762;CG15056;Wnt5;phm;Cyp18a1;Ulp1;rictor;kek5;et;dome;Cdc42;Rab10;Cyp6v1;Cyp6t1
post-embryonic animal morphogenesis	l(2)gl;net;spen;kis;al;ebi;S;Su(dx);Rab5;dpp;Duox;Chd1;Mad;sob;odd;bowl;ed;ft;Traf4;chic;PDZ-GEF;eya;Rca1;Mnn1;wg;Wnt6;chm;Rbsn-5;Btk29A;d;Cks30A;Pka-C1;Pten;Utx;lft;Myo31DF;ab;salr;salm;crol;Plzf;Tor;Sos;Su(H);ck;Cul3;esg;CycE;dac;qua;step;tsh;rl;gus;ap;Src42A;EcR;jing;Bap170;pk;cos;so;sax;babo;Uba1;dap;sqa;TER94;magu;lola;psq;sha;inv;en;otk;Cyp301a1;sca;vg;drk;mam;cg;Asx;kn;Hr51;Poxn;Ptp52F;RhoGEF2;cnk;RhoGAP54D;fj;sbb;par-1;shg;cv-2;dve;px;wmd;egl;Galphas;Chi;tsr;pio;Mmp1;Dll;zip;trio;bab1;mwh;Rac1;msn;Mrtf;Ubi-p63E;Cip4;l(3)psg2;vn;tow;nmo;msk;BI-1;Cbl;Gug;Shc;RasGAP1;RhoGAP68F;ara;caup;mirr;Atg1;flr;D;fz;RhoGAP71E;brm;Mbs;Nedd4;grim;MYPT-75D;Atg3;ftz-f1;Mkp3;trc;in;fng;skd;TfAP-2;opa;Atg17;Pak;rn;Atg13;bel;neur;hyx;Ras85D;hyd;CG31406;jumu;btsz;AdamTS-A;mor;ss;Ubx;osa;fru;Dl;RhoGAP92B;Hs6st;cic;Stat92E;H;Pi3K92E;lbl;lbe;C15;how;wge;hh;unk;EloA;mbc;Tsc1;BRWD3;tok;tld;polybromo;tnc;scrib;Ser;Mtl;fkh;stg;Dr;Axn;hdc;dco;Gprk2;gammaCOP;pygo;Med;heph;Crk;lgs;zfh2;ey;fuss;svr;CG13366;arm;N;cib;bi;ctp;ovo;raptor;dx;Dok;sn;Smox;slpr;Trf2;oc;Lim1;Moe;btd;Sp1;dsh;hop;Drak;m;dy;pot;fw;hep;sno;tay;Stim;disco-r;Rok;mthl1;f;B-H2;B-H1;RhoGAP16F;upd3;Cyp18a1;Hs3st-B;e(y)3;dome;Cdc42;parvin;RhoGAP19D
cell-cell signaling	l(2)gl;Ir21a;spen;Plc21C;nAChRbeta3;ds;GluRIIC;aop;VGlut;CG9962;CG9961;Pgk;daw;ft;fusl;GluRIIA;GluRIIB;Nlg2;Wnt4;wg;Wnt6;Wnt10;Slob;mts;Snx6;SoxN;Gdi;Pka-C1;ppk16;ppk11;nAChRalpha6;Ca-beta;crol;nAChRalpha5;Dyrk2;Syx5;BicD;CG7094;Sytalpha;drl;twit;clumsy;dimm;dtr;tsh;rl;Src42A;pk;CanB2;Cul1;nito;mtt;stmA;lin;Wnt2;brp;TER94;stan;CG12344;otk;Sin3A;nemy;sca;vg;Drl-2;stj;Syngr;tum;Prosap;VGAT;Ih;Arc1;phyl;kn;Arf51F;Cep89;DAT;Alk;Sod2;fj;CG14505;5-HT1B;5-HT1A;hpo;CkIIbeta2;Synj;Vps35;twi;apt;Galphas;CG10339;mAChR-A;Letm1;gsb;mth;ebd1;Fife;spz5;scramb2;pav;nAChRbeta1;NT1;Src64B;sgl;unc-13-4A;Ank2;pbl;nmo;mfr;nwk;Rdl;SH3PX1;Atg1;Syx13;fz;mop;Reck;Sytbeta;Hip14;Notum;Abl;Grd;Cat;CG32206;Shal;Csas;cmpy;skd;Syx7;Wnk;CG32447;CG11523;Csp;Ten-m;Arf79F;CkIIalpha;hkb;5-HT2A;CG12147;Nmdar1;Nlg1;mAChR-B;5-HT2B;hyx;pum;hyd;Snap24;Fmr1;gammaSnap2;tws;Csk;HisCl1;svp;CG34402;Snx3;CtBP;wntD;PK1-R;Dop1R1;Hsc70-4;Rbp;Akt1;gish;osa;Rim;sr;cdm;Ssdp;Dl;ort;RhoGAP92B;Nlg4;Pi3K92E;GluRIIE;GluRIID;Oamb;Synd;Ir93a;CG3822;Sec15;slmb;Rab1;GABA-B-R2;CASK;Cby;lqfR;Nrx-1;hh;Cdc16;nau;RanBP3;spas;Syx1A;Apc2;nAChRalpha1;nAChRalpha2;nAChRbeta2;Pp1alpha-96A;Smg6;Bili;Tnks;boss;gro;Ser;Tusp;Apc;TkR99D;Axn;AdoR;CG15537;CDase;Rpt6R;wts;tll;5-HT7;CanA1;dco;Gycbeta100B;pygo;Syt7;lgs;CG1909;mGluR;CG11155;Roc1a;Sec22;Vps26;arm;Syx4;N;Tip60;CG6927;CanB;Grip;fz4;nAChRalpha3;nej;X11Lbeta;Rph;BTBD9;rtv;dsh;CkIIbeta;cac;CG2577;lic;comt;Neto;NFAT;CG5541;Rab3-GEF;Scamp;Chc;CG8916;Lcch3;Rok;B-H2;stas;upd2;upd3;Wnt5;nAChRalpha7;Mer;Cdc42;Rpt6
regulation of localization	l(2)gl;kis;AP-2alpha;crq;S;Su(dx);aop;Sec24CD;Rab5;daw;lilli;pgant4;tim;Shaw;ft;CG14020;Lam;GluRIIA;chic;mmy;Tango1;homer;Liprin-alpha;smt3;Pvf2;Pvf3;Slob;Rbsn-5;Su(var)205;Snx6;emb;tai;Shawl;numb;gcm;Pka-C1;FKBP59;Npc1a;Pten;rho-5;Stam;Nup154;Ca-beta;ZnT33D;CG6405;PICK1;Tor;kuz;Ca-alpha1D;CaBP1;BicD;Sytalpha;CadN;Irk3;Nak;brat;swm;twit;dimm;step;Nipped-B;Pld;mim;pk;Dscam1;cos;didum;CG8726;CG2121;RyR;Vang;Rme-8;TER94;stan;Mtor;wash;Sin3A;nemy;bic;drk;Syngr;Prosap;Ih;aPKC;Hr51;unc-5;Khc;inaC;Pkc53E;Snx16;olf186-F;Elk;stau;Rgk2;ena;Tab2;Rgk1;par-1;Lrt;exu;shg;mago;Rgk3;Synj;Vps35;CG30259;stl;Nup214;tsr;sei;NKAIN;NaCP60E;zip;Ptpmeg;klar;Rac1;Ptp61F;ru;alphaCOP;Fife;enc;ens;Teh4;tipE;CG15876;CG13712;vn;Rcc1;ple;Galphai;corn;Cbl;Shc;SH3PX1;RhoGAP68F;ArfGAP1;fz;mop;bmm;Sytbeta;comm;Hip14;Abl;tap;Nedd4;Shal;Rab8;Mi-2;Toll-9;trbl;cmpy;CG10510;Rab26;Syx7;Wnk;CapaR;Csp;mael;Arf79F;Parp;cno;Kat60;Orco;Rab23;dgrn;Pak;AP-1mu;Teh1;ClC-a;svp;Snx3;rdx;PK1-R;nsl1;spn-E;Akt1;gish;Rim;repo;bnl;RhoGAP92B;mira;Pi3K92E;Rab11;slmb;Rab1;GABA-B-R2;CASK;Nrx-1;hh;Irk1;cnc;mbc;Syx1A;p38c;crb;Nup358;LpR2;CG4960;scrib;eater;wdb;Apc;Cnx99A;Cad99C;sima;AdoR;CG15537;wts;dco;Gprk2;gammaCOP;ttk;krz;Syt7;gw;PlexA;Rbf;east;wapl;CG3078;rb;CG44774;raptor;swa;CG10958;Crag;Moe;Erk7;CG42797;spri;sbr;Ran;rtv;CG1657;dsh;Evi5;prtp;cac;Sec16;hep;Syt12;NFAT;NetA;NetB;eag;Lsd-2;Graf;Chc;Stim;U2af50;Fur2;Rok;par-6;mnb;upd2;Wnt5;Pvf1;CG34401;Tao;Ranbp21;Rab35;Rab10
stem cell differentiation	spen;S;dpp;H15;mid;lid;wg;numb;da;nub;pdm2;kuz;CycE;ham;Nedd8;brat;EcR;nito;dpn;eve;inv;en;fand;tum;SMC2;grh;stau;enok;Kr;nab;vn;D;Arf79F;hkb;cas;Antp;Cenp-C;hb;Ras85D;Tctp;svp;pnr;abd-A;Abd-B;osa;htl;sqz;Dl;mira;Stat92E;tin;sav;scrib;Dr;tll;ac;sc;ase;vnd;arm;N;Pdcd4;run
negative regulation of response to stimulus	l(2)gl;ebi;lwr;ds;dock;CG4629;cpb;Su(dx);GlyP;aop;insv;CG9962;CG3277;ed;Lam;Ddr;eya;uif;Mnn1;Pvf2;RapGAP1;mts;Pp2A-29B;Akap200;d;SoxN;numb;Pka-C1;Ror;Pten;Utx;rho-5;piwi;kek2;crol;bun;nub;kek1;kek4;Prosalpha6T;NimA;Cul3;heix;CG7094;drl;swm;Ret;Cul2;Src42A;Bap170;Mob4;pk;cos;tor;sax;Cul1;Hey;lig;Cul4;gcl;Su(var)2-10;CG10459;TER94;stan;otk;Sin3A;Drl-2;Nrk;tum;phyl;Mlf;casp;SP2353;Alk;MESR4;edl;hppy;par-1;hpo;Lrt;cpa;PTP-ER;pirk;RYBP;apt;Pde8;Sesn;ken;MAN1;Eps-15;rno;E(bx);Ptpmeg;Ptp61F;msn;armi;pav;ago;DnaJ-1;scny;PGRP-LD;CG10289;tow;pbl;nmo;BI-1;Cbl;Gug;PGRP-LA;PGRP-LF;RasGAP1;scyl;chrb;Pi3K68D;Atg1;fz;RecQ5;Notum;tap;Nedd4;Mkp3;MESR6;asf1;Su(z)12;trbl;cmpy;fng;chb;park;pzg;Pc;Csp;slif;srl;CG12147;unc-45;CG9636;pum;Ras85D;AP-1mu;MED6;CG8507;Fmr1;Blm;CtBP;pic;rdx;eff;Sdr;Akt1;Fer2;htl;cdi;Stat92E;H;slmb;Cby;PSR;Rassf;Cdc16;RanBP3;CG34355;Pli;Tsc1;Apc2;crb;Pp1alpha-96A;puf;ssh;Bili;Cad96Ca;gro;Ser;wdb;Apc;Doa;Diedel;Axn;CG15537;wts;CanA1;dco;Gprk2;faf;krz;Eph;fuss;Roc1a;Rbf;Sik2;CG2918;N;Rala;Ptp4E;CG4096;PpV;dx;Traf6;lz;nej;PPP4R2r;sev;dsh;Ptp10D;CG2577;Smr;lic;HDAC4;NFAT;jub;hiw;Pp1-13C;Graf;tay;Rok;CG42684;mnb;Vps4;Ulp1;Vav;kek5;MKP-4;et;Pp4-19C;wap
cognition	dbr;kis;aru;lilli;for;CG11221;wg;Btk29A;Pka-C1;me31B;mol;Su(H);Ddc;drl;Nipped-B;EcR;brp;nemy;drk;AGO1;aPKC;Cep89;Alk;stau;5-HT1A;Rgk1;Galphas;CG4612;Rac1;gry;armi;Src64B;vn;dikar;Ank2;Rdl;simj;Abl;Shal;wnd;Nmdar1;CRMP;kra;osk;neur;pum;FoxP;Fmr1;Fdh;2mit;Dop1R1;Atx2;pxb;sra;gish;ss;cher;Stat92E;Oamb;CASK;Gld2;Nrx-1;Gclm;klg;prt;mld;scrib;mil;AdoR;CanA1;CG1910;mGluR;G9a;ebo;svr;futsch;Nmdar2;arm;per;w;N;spoon;Tbh;hop;Ptp10D;rad;HDAC4;eag;hiw;CG5541;Scamp;mnb;dome;amn;Dop2R;Inx6
inorganic ion transmembrane transport	CG34172;CG15406;CG8837;CG33281;CG33282;CG3285;CG15408;Shaw;nompC;CG31644;Ucp4C;Ucp4B;ppk7;ppk14;Nhe3;nrv1;Nha1;Shawl;ppk18;ppk16;ppk11;ppk10;Vha16-5;CG6230;Ca-beta;Vha100-5;ZnT33D;Pkd2;CG5421;Vha68-2;Vha68-3;Vha68-1;ppk;CG33310;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;Irk3;ppk13;Nhe2;Zip42C.1;ppk25;Dic3;RyR;trpl;CG1688;sut4;KCNQ;CG12344;Tret1-2;Vha36-2;stj;Ih;NaPi-T;Trpm;CG8249;Nach;Picot;Vha16-4;CG5002;olf186-F;Elk;Rgk2;Vha100-3;Rgk1;CG16868;CG34396;Rgk3;ppk9;ppk12;blw;ppk3;CG4797;sei;ppk29;Letm1;Mid1;NaCP60E;pyx;CG9194;ZnT63C;ppk27;tipE;VhaM9.7-a;ppk26;foi;TrpA1;Rdl;Vha16-3;Vha16-2;CG10960;CG17300;nan;Zip71B;Best4;Best3;Nedd4;Grd;CG6893;Dic4;CG14077;brv1;Shal;ZnT77C;ppk5;Wnk;CG1090;rpk;Orco;CG1208;CG1213;Vha14-2;CG14606;CG14605;wtrw;CG31100;Task7;CG9444;HisCl1;ClC-a;Vha55;Task6;VhaPPA1-2;CG6125;CG5404;Glut3;VhaM9.7-d;Vha100-2;CG10864;CG11703;CG5250;ort;CG4662;CG3822;CG4704;Nha2;VhaAC39-2;Irk1;ppk22;CG14540;ppk15;ppk31;mfrn;ppk21;ppk20;ppk30;ppk19;CG7912;CG9702;CG9717;Ctr1C;ppk24;JYalpha;CG3638;CG12773;Vha36-3;brv3;ppk8;yin;VhaAC39-1;CG42594;CG6927;SK;CG42265;Ca-alpha1T;CG42340;iav;CG4607;CG42797;Hk;Ork1;rtv;CG43155;ATP7;cac;CG15719;Clic;eag;Lcch3;Stim;ppk28;ppk23;tty;CG12061;CG17167
metamorphosis	l(2)gl;net;spen;kis;al;ebi;Ptth;S;Su(dx);Rab5;dpp;Duox;Chd1;Mad;sob;odd;bowl;ed;ft;Traf4;chic;PDZ-GEF;eya;Rca1;Mnn1;wg;Wnt6;chm;Rbsn-5;Btk29A;d;Cks30A;Pka-C1;Pten;Utx;lft;Myo31DF;ab;salr;salm;crol;Plzf;Tor;Sos;Su(H);ck;Cul3;esg;CycE;dac;qua;step;tsh;rl;gus;ap;Src42A;EcR;jing;Bap170;pk;cos;so;tor;sax;babo;Uba1;dap;sqa;TER94;magu;lola;psq;sha;inv;en;otk;Cyp301a1;sca;vg;drk;mam;cg;Asx;kn;Hr51;Poxn;Ptp52F;RhoGEF2;cnk;RhoGAP54D;fj;sbb;par-1;shg;cv-2;dve;px;wmd;Galphas;Chi;tsr;pio;Mmp1;Dll;zip;trio;bab1;mwh;Rac1;msn;Mrtf;Ubi-p63E;Cip4;l(3)psg2;vn;tow;nmo;msk;BI-1;Cbl;Gug;Shc;RasGAP1;RhoGAP68F;ara;caup;mirr;Atg1;flr;fz;RhoGAP71E;Eig71Ea;Eig71Eh;Eig71Ei;Eig71Ek;brm;Mbs;Nedd4;MYPT-75D;Atg3;ftz-f1;Mkp3;trc;in;fng;skd;TfAP-2;Chro;Parp;opa;Atg17;Pak;rn;Atg13;bel;neur;hyx;Ras85D;hyd;CG31406;jumu;mor;ss;Ubx;osa;fru;Dl;RhoGAP92B;Hs6st;cic;Stat92E;H;Pi3K92E;tin;lbl;lbe;C15;how;wge;hh;unk;EloA;mbc;Tsc1;BRWD3;tok;tld;polybromo;tnc;scrib;Ser;Mtl;fkh;stg;Dr;Axn;hdc;dco;Gprk2;pygo;Med;heph;Crk;lgs;zfh2;ey;fuss;svr;CG13366;arm;east;usp;N;bi;ctp;ovo;raptor;dx;Dok;sn;Smox;slpr;Trf2;oc;Lim1;Moe;btd;Sp1;dsh;hop;Drak;m;dy;pot;fw;hep;sno;tay;Stim;disco-r;Rok;mthl1;f;B-H2;B-H1;RhoGAP16F;upd3;Cyp18a1;Hs3st-B;e(y)3;dome;Cdc42;parvin;RhoGAP19D
formation of anatomical boundary	dpp;Mad;ft;uif;chm;numb;Su(H);amos;tsh;phyl;unc-5;ena;ara;caup;mirr;sens;nuf;fz;CG13465;BobA;Scr;neur;CtBP;put;Abd-B;H;Rab11;E(spl)m8-HLH;Cul5;Med;N;lz;hop;NetB;exd;B-H2;B-H1
regulation of embryonic development	PDZ-GEF;Pka-C1;twe;grp;cta;geminin;didum;Ggamma1;TER94;bic;Khc;RhoGEF2;stau;par-1;exu;mago;klar;Rac1;msn;enc;lark;mfr;CycA;Capr;zye;mael;cno;dgrn;pyd;Fmr1;wntD;spn-E;mira;Rab11;how;cnc;Syx1A;Tl;l(3)mbt;Mtl;WASp;stg;neo;bnk;mey;nyo;ttk;swa;Dok;slpr;hop;m;Top1;Pp2B-14D;Rab35
maintenance of cell number	erm;dpp;lilli;Mad;chic;lid;PDZ-GEF;alien;pelo;da;pie;piwi;esg;CycE;fzy;Nedd8;Tif-IA;sax;magu;AGO1;mam;Lis-1;Ote;shg;dom;bgcn;enok;scny;zpg;fax;Su(Tpl);CSN3;fng;chb;mael;bel;neur;put;eff;nsl1;nos;Dl;Stat92E;H;Pi3K92E;Rab11;how;Nup98-96;msi;ball;His2Av;Ser;Hrb98DE;Axn;Med;arm;fs(1)Yb;N;Parg;dsh;hop;RPA3
cytoplasm organization	Rab5;chic;Rbsn-5;Pka-C1;Ge-1;Rab6;spir;gus;didum;gcl;TER94;psq;SmD3;bic;Lis-1;Khc;stau;par-1;exu;mago;tud;egl;klar;Hsp83;armi;enc;mael;lost;jagn;osk;rump;glo;Tm1;spn-E;mira;Rab11;slmb;cnc;orb;Rab7;Syx1A;scrib;btz;swa;Moe;Chc;Mer
rhythmic process	Plc21C;eys;E23;tim;Ir25a;lid;homer;mts;Pp2A-29B;Dh31;numb;Pka-C1;rho-5;Rh5;B4;bgm;Cul3;Ac3;Nipped-B;sxc;EcR;Tdc2;so;CG12344;Iswi;Ih;Hr51;DAT;prod;5-HT1B;5-HT1A;qsm;spag;Mid1;Rac1;cue;Hsp83;lark;TrpA1;Rdl;Ilp2;Rh7;SRm160;Mbs;Grd;cyc;TfAP-2;CkIIalpha;ctrip;Dh44;Fmr1;tws;cu;Atx2;Rh6;Akt1;Fer2;tara;NPF;gl;unc79;Oamb;slmb;e;Irk1;Apc2;Pp1alpha-96A;mld;Ets96B;to;unc80;Dop1R2;Axn;dco;gw;CG5273;inc;Adar;Pdfr;per;CG2650;tyf;nej;Hk;nocte;BTBD9;Ork1;rtv;hop;CkIIbeta;na;Pp1-13C;disco;mnb;dome;tilB
cell proliferation	l(2)gl;Pi3K21B;lwr;ds;S;erm;Rab5;Axud1;dpp;lilli;CG3277;ft;Lam;dsf;Pez;Mnn1;Pvf2;Wnt4;wg;mts;SoxN;alien;numb;gcm;Dref;Pten;Utx;Nos;Nup154;bun;nub;pdm2;Tor;esg;wor;CycE;CG4793;heix;Syx5;dl;ham;Nedd8;brat;cad;tsh;rl;conu;EcR;Orc1;dpn;RyR;ana2;Ggamma1;babo;Uba1;Sin3A;vg;cnn;tum;AGO1;Sox15;SelD;aPKC;Mlf;Lis-1;Sod2;Pkc53E;CG10764;grh;stau;hpo;dom;pgc;CycB;CG13559;mi;yki;snama;enok;Nurf-38;zip;Kr;Roc1b;Rac1;Ptp61F;Bgb;Patj;Hsp83;CycJ;enc;nab;ago;Dhc64C;vn;Galphai;msl-3;msk;RecQ4;Cbl;Ilp2;E(z);CycA;thoc6;CG10738;Sox21a;fz;brm;Abl;Galphaf;Nedd4;Adgf-A;Cat;Mkp3;polo;CSN3;Syx7;tub;tacc;cno;mtd;hd;cas;Sgt1;hb;Ras85D;MED6;Fmr1;tws;CG5214;Csk;svp;flfl;kibra;pxb;nsl1;mor;msps;Akt1;osa;htl;Dl;mira;Stat92E;Pi3K92E;slmb;lbl;lbe;lqfR;mats;loco;sav;hh;eIF4G2;Tsc1;Apc2;crb;CycB3;Cad96Ca;Nup358;E(spl)mdelta-HLH;scrib;Tl;Ser;l(3)mbt;Apc;Doa;Cul5;stg;wts;tll;CycG;Med;pasha;ey;ac;ase;Roc1a;Rbf;N;Vsx1;Smox;Moe;mxc;ric8a;btd;hop;Bap60;Pdcd4;mud;Top1;Myb;CycD;baz;par-6;upd3;Pvf1;dome;Mer;Cdc42;Phf7
amino sugar metabolic process	Cda5;CG42296;Muc26B;mmy;CG9550;obst-B;ChLD3;fdl;CG8192;Idgf5;Cht8;Cht12;Cht4;CG13806;CG32302;Cht7;CG42525;ckd;CG12009;CG4835;CG13676;CG13675;CG34426;CG34427;CG13312;CG32024;CG13308;CG32036;Muc68D;CG5897;CG5883;CG7252;CG17826;obst-G;CG7248;CG43294;CG43896;CG33263;CG10154;CG10725;CG10140;CG33986;CG33985;CG42729;CG42728;CG13075;obst-J;obst-F;CG7290;CG6996;CG7017;CG6933;CG17145;CG17147;CG43218;CS-2;Gfat1;kkv;CG14607;mtg;knk;CG14880;Mur89F;CG14304;CG14301;CG14300;CG34282;CG7714;CG13837;CG13643;CG14244;CG14247;CG31077;CG3348;CG1969;Idgf4;Cht6;rtv;Muc18B;Peritrophin-A;CG17065;Cda4
response to growth factor	l(2)gl;lwr;GluRIIC;aop;dpp;daw;Mad;for;GluRIIA;GluRIIB;smt3;piwi;Sos;scw;Cul2;rl;sxc;sax;babo;CG10459;magu;ths;drk;Lis-1;cnk;grh;Ote;Toll-7;cv-2;MAN1;trio;Ptp61F;Src64B;sgl;Shc;RasGAP1;btl;Toll-6;cmpy;Ras85D;stumps;put;pnr;CG14891;htl;bnl;GluRIIE;GluRIID;tld;gro;Med;mav;fuss;Vps26;csw;Smox;Dsor1;tsg;Neto;hiw;CG15056;kek5;Cdc42
muscle structure development	Pkg21D;dock;aop;Sec24CD;dpp;CG9961;Pgk;ed;Cf2;lid;eya;Tsp;wg;numb;hoip;Pten;SCAR;ab;salm;Tor;kuz;crp;kon;tup;drl;ap;coro;wech;CanB2;Gapdh1;sns;Wnt2;eve;lola;ths;SmD3;Sin3A;vg;tum;LamC;mspo;kn;pcs;hbs;chn;Arf51F;Khc;Alk;lms;Vrp1;twi;retn;zip;Kr;klar;ebd1;Rac1;ens;pav;ImpL3;akirin;msk;Gug;Zasp67;rols;ara;caup;flr;Nedd4;Six4;skd;siz;Hem;tub;Antp;Alh;unc-45;Poxm;Ras85D;Scgbeta;Abi;nsl1;Akt1;Pak3;Ubx;abd-A;Abd-B;cher;htl;sr;fru;Stat92E;tin;bap;lbl;lbe;slou;how;PyK;lmd;nau;mbc;mask;E(spl)mdelta-HLH;Tl;ball;spz;CG14260;WASp;Pglym78;Dr;Tpi;ttk;Crk;CG13366;tw;DAAM;Scgdelta;kirre;N;Grip;raptor;org-1;exd;Rok;sing;Him;Wnt5;Vav;parvin;wap
digestive system development	S;dpp;Mad;sob;odd;bowl;Lam;wg;pim;Myo31DF;wb;scw;barr;cad;tsh;EcR;lin;cnn;fand;Alk;thr;rib;shg;dve;twi;zip;Kr;trh;Rac1;dib;vn;pbl;byn;Sox21a;D;shd;kug;opa;kkv;lab;Scr;Antp;sad;svp;put;GATAe;Ubx;abd-A;Abd-B;Stat92E;tin;bap;hh;cnc;crb;tnc;Gp93;fkh;ac;ase;N;sisA;hop;Pvf1;dome
developmental maturation	l(2)gl;kis;capt;dpp;Duox;Hydr2;fusl;GluRIIA;chic;Nlg2;SA;milt;Rbsn-5;Pka-C1;Stam;Ge-1;Ca-beta;Rab6;rk;Ca-alpha1D;BicD;Grip71;Ddc;gammaTub37C;spir;Hr38;gus;EcR;didum;Cul1;gcl;ced-6;Uba1;TER94;psq;SmD3;muskelin;bic;aPKC;Hr51;Lis-1;krimp;Khc;stau;par-1;TBCB;exu;sktl;shg;mago;tud;Fili;egl;klar;bab1;ru;Hsp83;armi;enc;Dhc64C;ple;mfr;CalpB;mop;ftz-f1;chb;Pc;mael;Arf79F;CkIIalpha;vtd;Cont;lost;kkv;kat-60L1;Pak;Mkk4;osk;rump;Ras85D;Fmr1;glo;eff;jvl;Tm1;spn-E;msps;osa;Rim;14-3-3epsilon;nos;Dl;mira;cic;Pi3K92E;Rab11;slmb;e;Burs;Efa6;loco;cnc;orb;SMC1;Syx1A;p38c;tld;scrib;spz;btz;hdc;heph;y;Roc1a;usp;egh;N;ctp;swa;Moe;t;Imp;CkIIbeta;ATP7;wisp;cac;lic;Grip128;Chc;Rok;baz;Vps4;Mer
urogenital system development	S;dpp;Mad;odd;wg;numb;pim;da;kuz;barr;cad;tsh;tio;EcR;sns;fand;hbs;thr;rib;twi;zip;Kr;trh;pbl;Doc3;Doc1;byn;rols;kkv;Ras85D;svp;put;pnr;Ubx;htl;tin;sav;mbc;crb;scrib;fkh;ac;sc;ase;kirre;N;baz;Pvf1
aminoglycan metabolic process	Cda5;CG42296;Muc26B;mmy;obst-B;ChLD3;CG12913;fdl;CG8192;Idgf5;Cht8;Cht12;Cht4;oxt;CG13806;CG32302;Cht7;CG42525;ckd;CG12009;CG11357;CG4835;PGRP-LD;sgl;CG13676;CG13675;CG34426;CG34427;CG13312;CG32024;CG13308;PGRP-LA;PGRP-LF;CG32036;Muc68D;CG5897;CG5883;CG7252;CG17826;obst-G;CG7248;CG43294;CG43896;CG33263;CG10154;CG10725;CG10140;CG33986;CG33985;CG42729;CG42728;CG13075;GNBP1;obst-J;obst-F;CG7290;CG6996;CG7017;CG6933;CG17145;CG17147;CG43218;CS-2;kkv;CG14607;mtg;knk;CG14880;Mur89F;CG14304;CG14301;CG14300;CG34282;CG7714;CG14291;CG13837;CG13643;beta4GalT7;CG14244;CG14247;CG31077;CG3348;GlcAT-I;Idgf4;Cht6;rtv;CG9220;Muc18B;Peritrophin-A;Cda4
